blocker_primary_category,can_owner_override_external_fact_truth_as_source_backed,next_required_action,owner_decision_options,owner_route,platform_scope,priority_class,recommended_primary_eligibility_lane,retrieval_target_id,target_field_path,field_name,separation_bucket,source_seed_title,source_seed_url,source_seed_summary,source_seed_quality
EXACT_VALUE_NOT_VISIBLE,False,BROADER_PUBLIC_OFFICIAL_SOURCE_SEARCH_OR_OWNER_LOCATOR_REQUIRED,"['OWNER_OVERRIDE_BLOCKER', 'OWNER_APPROVE_BLOCKER_OR_CANDIDATE_FOR_NEXT_REVIEW', 'OWNER_PROVIDE_VALUE', 'OWNER_DISAPPROVE']",PR153R_RETRY_CAPTURE,FORECASTEX_IBKR,P0,EXTERNAL_SOURCE_VALUE_CAPTURE_TARGET,PR151_PR150_EXECUTION_LATENCY_LIMIT_PRICE_TARGET_FIELDS_LIMIT_PRICE_FIELD_PREDICTION_MARKETS_GENERAL_FORECASTEX_IBKR_OFFICIAL_API_DOCS_LIMIT_PRICE_FIELD,pr151.target_fields.forecastex_ibkr.execution_latency.limit_price_target_fields.limit_price_field,limit_price_field,PUBLIC_OFFICIAL_SOURCE_RETRIABLE,IBKR Event Trading; IBKR Order Types,https://www.interactivebrokers.com/campus/ibkr-api-page/event-trading/ | https://www.interactivebrokers.com/campus/ibkr-api-page/order-types/,"ForecastEx event contracts support LMT order type; order construction requires quantity, limit price, and time-in-force.",STRONG_PUBLIC_OFFICIAL_SEED
EXACT_VALUE_NOT_VISIBLE,False,BROADER_PUBLIC_OFFICIAL_SOURCE_SEARCH_OR_OWNER_LOCATOR_REQUIRED,"['OWNER_OVERRIDE_BLOCKER', 'OWNER_APPROVE_BLOCKER_OR_CANDIDATE_FOR_NEXT_REVIEW', 'OWNER_PROVIDE_VALUE', 'OWNER_DISAPPROVE']",PR153R_RETRY_CAPTURE,FORECASTEX_IBKR,P0,EXTERNAL_SOURCE_VALUE_CAPTURE_TARGET,PR151_PR150_EXECUTION_LATENCY_MINIMUM_ORDER_SIZE_TARGET_FIELDS_MINIMUM_ORDER_SIZE_FIELD_PREDICTION_MARKETS_GENERAL_FORECASTEX_IBKR_OFFICIAL_API_DOCS_MINIMUM_ORDER_SIZE_FIELD,pr151.target_fields.forecastex_ibkr.execution_latency.minimum_order_size_target_fields.minimum_order_size_field,minimum_order_size_field,PUBLIC_OFFICIAL_RETRIABLE__PARTIAL_SEED_TARGET_NEEDS_SCOPE_CHECK,IBKR Event Trading; ForecastEx Rulebook,https://www.interactivebrokers.com/campus/ibkr-api-page/event-trading/ | https://data.forecastex.com/regulatory/ForecastEx_LLC_Rulebook.pdf,IBKR event-trading docs identify quantity as an event-order input; exact minimum order size may be contract/account/exchange-rule specific.,PARTIAL_PUBLIC_OFFICIAL_SEED_EXACT_VALUE_MAY_REQUIRE_RULEBOOK_OR_OWNER_LOCATOR
EXACT_VALUE_NOT_VISIBLE,False,BROADER_PUBLIC_OFFICIAL_SOURCE_SEARCH_OR_OWNER_LOCATOR_REQUIRED,"['OWNER_OVERRIDE_BLOCKER', 'OWNER_APPROVE_BLOCKER_OR_CANDIDATE_FOR_NEXT_REVIEW', 'OWNER_PROVIDE_VALUE', 'OWNER_DISAPPROVE']",PR153R_RETRY_CAPTURE,KALSHI,P0,EXTERNAL_SOURCE_VALUE_CAPTURE_TARGET,PR151_PR150_EXECUTION_LATENCY_MINIMUM_ORDER_SIZE_TARGET_FIELDS_MINIMUM_ORDER_SIZE_FIELD_PREDICTION_MARKETS_GENERAL_KALSHI_OFFICIAL_API_DOCS_MINIMUM_ORDER_SIZE_FIELD,pr151.target_fields.kalshi.execution_latency.minimum_order_size_target_fields.minimum_order_size_field,minimum_order_size_field,PUBLIC_OFFICIAL_SOURCE_RETRIABLE,Kalshi Fixed-Point Migration; Kalshi Create Order V2,https://docs.kalshi.com/getting_started/fixed_point_migration | https://docs.kalshi.com/api-reference/orders/create-order-v2,"Kalshi fixed-point docs state contract count fields use *_fp strings, accept 0-2 decimals, and minimum granularity is 0.01 contracts.",STRONG_PUBLIC_OFFICIAL_SEED
EXACT_VALUE_NOT_VISIBLE,False,BROADER_PUBLIC_OFFICIAL_SOURCE_SEARCH_OR_OWNER_LOCATOR_REQUIRED,"['OWNER_OVERRIDE_BLOCKER', 'OWNER_APPROVE_BLOCKER_OR_CANDIDATE_FOR_NEXT_REVIEW', 'OWNER_PROVIDE_VALUE', 'OWNER_DISAPPROVE']",PR153R_RETRY_CAPTURE,FORECASTEX_IBKR,P0,EXTERNAL_SOURCE_VALUE_CAPTURE_TARGET,PR151_PR150_EXECUTION_LATENCY_ORDERBOOK_SNAPSHOT_FRESHNESS_TARGETS_ORDERBOOK_SNAPSHOT_FRESHNESS_PREDICTION_MARKETS_GENERAL_FORECASTEX_IBKR_OFFICIAL_API_DOCS_ORDERBOOK_SNAPSHOT_FRESHNESS,pr151.target_fields.forecastex_ibkr.execution_latency.orderbook_snapshot_freshness_targets.orderbook_snapshot_freshness,orderbook_snapshot_freshness,PUBLIC_OFFICIAL_SOURCE_RETRIABLE,IBKR Web API marketdata snapshot; Event Contracts Web API,https://www.interactivebrokers.com/campus/ibkr-api-page/webapi-doc/ | https://www.interactivebrokers.com/campus/ibkr-api-page/event-contracts/,"IBKR Web API describes /iserver/marketdata/snapshot, required pre-flight, non-cached snapshot extraction from live streams, and websocket top-of-book stream.",STRONG_PUBLIC_OFFICIAL_SEED
EXACT_VALUE_NOT_VISIBLE,False,BROADER_PUBLIC_OFFICIAL_SOURCE_SEARCH_OR_OWNER_LOCATOR_REQUIRED,"['OWNER_OVERRIDE_BLOCKER', 'OWNER_APPROVE_BLOCKER_OR_CANDIDATE_FOR_NEXT_REVIEW', 'OWNER_PROVIDE_VALUE', 'OWNER_DISAPPROVE']",PR153R_RETRY_CAPTURE,FORECASTEX_IBKR,P0,EXTERNAL_SOURCE_VALUE_CAPTURE_TARGET,PR151_PR150_EXECUTION_LATENCY_RATE_LIMIT_TARGET_FIELDS_RATE_LIMIT_FIELD_PREDICTION_MARKETS_GENERAL_FORECASTEX_IBKR_OFFICIAL_API_DOCS_RATE_LIMIT_FIELD,pr151.target_fields.forecastex_ibkr.execution_latency.rate_limit_target_fields.rate_limit_field,rate_limit_field,PUBLIC_OFFICIAL_SOURCE_RETRIABLE,IBKR Web API rate limits,https://www.interactivebrokers.com/campus/ibkr-api-page/webapi-doc/ | https://www.interactivebrokers.com/campus/ibkr-api-page/cpapi-v1/,IBKR Web API docs describe 10 requests/sec global authenticated-session limit and 429 behavior.,STRONG_PUBLIC_OFFICIAL_SEED
EXACT_VALUE_NOT_VISIBLE,False,BROADER_PUBLIC_OFFICIAL_SOURCE_SEARCH_OR_OWNER_LOCATOR_REQUIRED,"['OWNER_OVERRIDE_BLOCKER', 'OWNER_APPROVE_BLOCKER_OR_CANDIDATE_FOR_NEXT_REVIEW', 'OWNER_PROVIDE_VALUE', 'OWNER_DISAPPROVE']",PR153R_RETRY_CAPTURE,FORECASTEX_IBKR,P2,EXTERNAL_SOURCE_VALUE_CAPTURE_TARGET,PR151_PR150_EXECUTION_LATENCY_RETRY_BACKOFF_ERROR_ROUTING_TARGETS_RETRY_BACKOFF_ERROR_ROUTING_PREDICTION_MARKETS_GENERAL_FORECASTEX_IBKR_OFFICIAL_API_DOCS_RETRY_BACKOFF_ERROR_ROUTING,pr151.target_fields.forecastex_ibkr.execution_latency.retry_backoff_error_routing_targets.retry_backoff_error_routing,retry_backoff_error_routing,PUBLIC_OFFICIAL_SOURCE_RETRIABLE,IBKR Web API rate limits; TWS pacing,https://www.interactivebrokers.com/campus/ibkr-api-page/webapi-doc/ | https://www.interactivebrokers.com/campus/ibkr-api-page/trader-workstation-api/,"IBKR docs identify 429 rate-limit responses and TWS pacing behavior; retry/backoff route can be derived as an error-handling target, not a fixed value.",STRONG_PUBLIC_OFFICIAL_SEED
EXACT_VALUE_NOT_VISIBLE,False,BROADER_PUBLIC_OFFICIAL_SOURCE_SEARCH_OR_OWNER_LOCATOR_REQUIRED,"['OWNER_OVERRIDE_BLOCKER', 'OWNER_APPROVE_BLOCKER_OR_CANDIDATE_FOR_NEXT_REVIEW', 'OWNER_PROVIDE_VALUE', 'OWNER_DISAPPROVE']",PR153R_RETRY_CAPTURE,KALSHI,P2,EXTERNAL_SOURCE_VALUE_CAPTURE_TARGET,PR151_PR150_EXECUTION_LATENCY_RETRY_BACKOFF_ERROR_ROUTING_TARGETS_RETRY_BACKOFF_ERROR_ROUTING_PREDICTION_MARKETS_GENERAL_KALSHI_OFFICIAL_API_DOCS_RETRY_BACKOFF_ERROR_ROUTING,pr151.target_fields.kalshi.execution_latency.retry_backoff_error_routing_targets.retry_backoff_error_routing,retry_backoff_error_routing,PUBLIC_OFFICIAL_SOURCE_RETRIABLE,Kalshi Rate Limits; Get Account API Limits,https://docs.kalshi.com/getting_started/rate_limits | https://docs.kalshi.com/api-reference/account/get-account-api-limits,Kalshi docs describe token-based limits and 429 rejection when a bucket lacks enough tokens.,STRONG_PUBLIC_OFFICIAL_SEED
EXACT_VALUE_NOT_VISIBLE,False,BROADER_PUBLIC_OFFICIAL_SOURCE_SEARCH_OR_OWNER_LOCATOR_REQUIRED,"['OWNER_OVERRIDE_BLOCKER', 'OWNER_APPROVE_BLOCKER_OR_CANDIDATE_FOR_NEXT_REVIEW', 'OWNER_PROVIDE_VALUE', 'OWNER_DISAPPROVE']",PR153R_RETRY_CAPTURE,POLYMARKET,P2,EXTERNAL_SOURCE_VALUE_CAPTURE_TARGET,PR151_PR150_EXECUTION_LATENCY_RETRY_BACKOFF_ERROR_ROUTING_TARGETS_RETRY_BACKOFF_ERROR_ROUTING_PREDICTION_MARKETS_GENERAL_POLYMARKET_OFFICIAL_API_DOCS_RETRY_BACKOFF_ERROR_ROUTING,pr151.target_fields.polymarket.execution_latency.retry_backoff_error_routing_targets.retry_backoff_error_routing,retry_backoff_error_routing,PUBLIC_OFFICIAL_SOURCE_RETRIABLE,Polymarket Rate Limits; Error Codes,https://docs.polymarket.com/api-reference/rate-limits | https://docs.polymarket.com/resources/error-codes,Polymarket rate limits use Cloudflare throttling/sliding windows; error-code docs include retry-related engine errors.,STRONG_PUBLIC_OFFICIAL_SEED
EXACT_VALUE_NOT_VISIBLE,False,BROADER_PUBLIC_OFFICIAL_SOURCE_SEARCH_OR_OWNER_LOCATOR_REQUIRED,"['OWNER_OVERRIDE_BLOCKER', 'OWNER_APPROVE_BLOCKER_OR_CANDIDATE_FOR_NEXT_REVIEW', 'OWNER_PROVIDE_VALUE', 'OWNER_DISAPPROVE']",PR153R_RETRY_CAPTURE,FORECASTEX_IBKR,P0,EXTERNAL_SOURCE_VALUE_CAPTURE_TARGET,PR151_PR150_EXECUTION_LATENCY_TICK_SIZE_TARGET_FIELDS_TICK_SIZE_FIELD_PREDICTION_MARKETS_GENERAL_FORECASTEX_IBKR_OFFICIAL_FEE_TICK_SETTLEMENT_DOCS_TICK_SIZE_FIELD,pr151.target_fields.forecastex_ibkr.execution_latency.tick_size_target_fields.tick_size_field,tick_size_field,PUBLIC_OFFICIAL_SOURCE_RETRIABLE,IBKR minimum increment / minTick; reqMarketRule,https://interactivebrokers.github.io/tws-api/minimum_increment.html | https://www.interactivebrokers.com/campus/ibkr-api-page/tws-api-error-codes/,IBKR docs define minTick as minimum price variation and require reqMarketRule for full increment structure.,STRONG_PUBLIC_OFFICIAL_SEED
EXACT_VALUE_NOT_VISIBLE,False,BROADER_PUBLIC_OFFICIAL_SOURCE_SEARCH_OR_OWNER_LOCATOR_REQUIRED,"['OWNER_OVERRIDE_BLOCKER', 'OWNER_APPROVE_BLOCKER_OR_CANDIDATE_FOR_NEXT_REVIEW', 'OWNER_PROVIDE_VALUE', 'OWNER_DISAPPROVE']",PR153R_RETRY_CAPTURE,KALSHI,P0,EXTERNAL_SOURCE_VALUE_CAPTURE_TARGET,PR151_PR150_EXECUTION_LATENCY_TICK_SIZE_TARGET_FIELDS_TICK_SIZE_FIELD_PREDICTION_MARKETS_GENERAL_KALSHI_OFFICIAL_FEE_TICK_SETTLEMENT_DOCS_TICK_SIZE_FIELD,pr151.target_fields.kalshi.execution_latency.tick_size_target_fields.tick_size_field,tick_size_field,PUBLIC_OFFICIAL_SOURCE_RETRIABLE,Kalshi Fixed-Point Migration,https://docs.kalshi.com/getting_started/fixed_point_migration,"Kalshi docs define price_level_structure and valid tick sizes for linear_cent, tapered_deci_cent, and deci_cent.",STRONG_PUBLIC_OFFICIAL_SEED
